FID,Shape_Leng,Shape_Area,Count_,landslide,prob
8314,2950,126875,0,0,0.550803
8315,3350,136250,0,0,0.336348
8316,3400,235625,0,0,0.170257
8317,1400,54375,0,0,0.0825256
8318,5400,225625,0,0,0.582946
8319,2700,168750,0,0,0.0551532
8320,2800,301875,0,0,0.368743
8321,3250,301875,0,0,0.589299
8322,2000,118125,0,0,0.831574
8323,2800,191250,0,0,0.829429
8324,7250,663125,0,0,0.535991
8325,3250,211250,0,0,0.0254681
8326,6400,659375,0,0,0.494963
8327,5300,301250,0,0,0.737729
8328,2750,200000,0,0,0.827746
8329,5050,376875,0,0,0.643654
8330,2650,161875,0,0,0.220311
8331,1900,127500,0,0,0.387906
8332,3600,170625,0,0,0.479851
8333,700,17500,0,0,0.821464
8334,5100,292500,0,0,0.621991
8335,5050,283750,0,0,0.844011
8336,3750,226875,0,0,0.914275
8337,2950,217500,0,0,0.641558
8338,950,22500,0,0,0.0109398
8339,3950,340625,0,0,0.21854
8340,3000,238750,0,0,0.11442
8341,5350,519375,0,0,0.740766
8342,1550,56875,0,0,0.0352746
8343,1800,72500,0,0,0.0512375
8344,1650,48750,0,0,0.126986
8345,4400,560625,0,0,0.854833
8346,2950,211250,0,0,0.868619
8347,4450,271250,0,0,0.724888
8348,3900,263125,0,0,0.0206061
8349,2250,134375,0,0,0.0442737
8350,4400,238750,1,1,0.239185
8351,3750,320000,0,0,0.469315
8352,3000,195625,0,0,0.898128
8353,2950,177500,0,0,0.162898
8354,1900,74375,0,0,0.780115
8355,2300,98750,0,0,0.013998
8356,4900,350625,1,1,0.773074
8357,4250,313750,0,0,0.227579
8358,950,23750,0,0,0.0336011
8359,3250,155000,0,0,0.877994
8360,1400,54375,0,0,0.452752
8361,4100,335000,0,0,0.761433
8362,4350,468750,0,0,0.874269
8363,10600,936875,0,0,0.425396
8364,1800,88750,0,0,0.0475388
8365,4650,390000,0,0,0.0143517
8366,2700,175000,0,0,0.813162
8367,3650,165000,0,0,0.276548
8368,2850,216250,0,0,0.353812
8369,4100,380000,0,0,0.727989
8370,3550,223125,0,0,0.751808
8371,2200,90000,0,0,0.167881
8372,1450,31250,0,0,0.074867
8373,4100,433750,0,0,0.883358
8374,2400,125625,1,1,0.482944
8375,3000,245000,0,0,0.645656
8376,1000,37500,0,0,0.0122007
8377,2500,176250,0,0,0.718211
8378,2100,90625,0,0,0.320781
8379,5550,338750,0,0,0.731495
8380,3600,157500,0,0,0.255936
8381,4750,223750,0,0,0.0888495
8382,2400,170000,0,0,0.187445
8383,4400,275625,0,0,0.640346
8384,3500,200000,0,0,0.458199
8385,5500,524375,1,1,0.614411
8386,6050,511875,2,1,0.934539
8387,2700,178750,0,0,0.232895
8388,3450,368125,0,0,0.141663
8389,3400,207500,0,0,0.714003
8390,3200,236875,0,0,0.94306
8391,2800,202500,0,0,0.0788419
8392,2900,288750,0,0,0.150477
8393,3450,172500,0,0,0.60531
8394,3150,198750,0,0,0.201998
8395,1050,46250,0,0,0.314452
8396,1900,80000,0,0,0.882946
8397,3500,242500,0,0,0.896585
8398,1350,31250,0,0,0.0267871
8399,3200,198125,1,1,0.879934
8400,2450,214375,0,0,0.973963
8401,1750,93125,0,0,0.0592329
8402,1800,106250,0,0,0.544888
8403,4250,239375,0,0,0.0658881
